"state","year","packs","rprice","rincome","tdiff","rtax"
"RI","y1985",132.781784057617,93.8119590850665,13.6754115628944,0,36.2453539950956
"SC","y1985",127.209442138672,84.2390824341119,10.839676388661,4.01138470899306,21.3754651765948
"SD","y1985",106.590255737305,90.2261506632623,11.1044835911798,0,28.8104095858452
"TN","y1985",129.834594726562,94.7448936655328,11.3805547930626,5.36291850936978,26.9516734835326
"TX","y1985",115.102928161621,99.7955387805776,13.1912103954041,3.83829104394768,32.7602238032595
"UT","y1985",68.046257019043,102.412492070255,11.0089556734408,5.79693251003585,26.0223054323763
"VA","y1985",134.009796142578,85.144364004023,14.2041829387113,3.27478295821183,17.1933107190204
"VT","y1985",145.283020019531,93.850687480875,12.076694183046,0,30.6691456881578
"WA","y1985",96.2281265258789,120.317000995553,13.6937764005847,7.8712061033385,36.2453539950956
"WI","y1985",107.876998901367,106.496288669068,12.866446900506,5.07125015316621,38.1040900974082
"WV","y1985",112.84740447998,101.218633608911,10.1626001644008,4.81993392082686,30.6691456881578
"WY","y1985",129.399993896484,86.8649343207763,13.2281713085498,0,22.3048332277511
"AL","y1995",101.085433959961,103.918205527776,12.9153465744632,0.921697484042459,26.5748068832886
"AR","y1995",111.04296875,115.185379996837,12.1690728198846,5.48501928703142,36.4173245210235
"AZ","y1995",71.9541702270508,130.31988672301,13.5396382865915,6.20570674607278,42.8696399425605
"CA","y1995",56.8593063354492,138.126429748883,16.0735911513303,9.03630736536663,40.0262485726564
"CO","y1995",82.5829238891602,109.809720375982,16.3155573854885,0,28.8713924130636
"CT","y1995",79.4721908569336,143.22868269505,20.9623591633126,8.10728335939929,48.556432694698
"DE","y1995",124.466598510742,108.661426359553,16.6607339581597,0,31.4960644506149
"FL","y1995",93.0745544433594,123.174007242356,15.427736600283,6.97211550661056,37.9921287447871
"GA","y1995",97.4746246337891,102.738242513946,14.5865462300457,0.939249097208609,23.6220483379612
"IA","y1995",92.4015960693359,125.255910911546,13.8979879504014,5.96456480237618,39.3700805632686
"ID","y1995",74.8497848510742,117.872388796266,12.8805611272524,5.61297184861546,34.1207364881661
"IL","y1995",83.2650756835938,130.2337106052,16.8262304278237,7.37171757910014,44.6194296445357
"IN","y1995",134.258346557617,101.400104722706,14.3342985402577,4.82857593858938,25.9186363708185
"KS","y1995",88.7534408569336,114.967201330263,14.3631402035672,5.47462899235762,31.4960644506149
"KY","y1995",172.64778137207,95.7871929480662,12.6084592117193,5.42191658196601,17.7165362534709
"LA","y1995",105.176132202148,110.101940217321,12.8221290250404,4.2346896232689,28.8713924130636
"MA","y1995",76.6206436157227,142.457362887018,18.4058450857361,6.78368347022325,49.2126007040858
"MD","y1995",77.4735488891602,122.069397018422,17.6482119178379,5.81282795267109,39.3700805632686
"ME","y1995",102.469779968262,129.416444218263,13.2809406661493,7.32546061798912,40.0262485726564
"MI","y1995",81.3882522583008,158.037848794742,15.7315487387443,8.94554059459782,64.9606329293932
"MN","y1995",82.9452972412109,144.585743788562,16.130749369641,9.45888272730842,47.2440966759223
"MO","y1995",122.45027923584,103.169353386569,14.4970973275554,0.911034353396737,26.9028908879825
"MS","y1995",105.582450866699,111.042918944406,11.2764336018738,7.26449053905286,27.559056394288
"MT","y1995",87.1595687866211,102.504384539775,12.3122520572554,0,27.559056394288
"NC","y1995",121.538063049316,98.4212665627783,14.3950317786293,3.78543390697201,19.0288722722465
"ND","y1995",79.8069686889648,126.147428732162,12.5223941270966,7.1404227612158,44.6194246383711
"NE","y1995",87.2707061767578,119.53740911269,14.56408529624,5.6922594839051,38.057744544493
"NH","y1995",156.33674621582,109.344928027779,16.4096209333318,0,32.1522324600027
"NJ","y1995",80.3713684082031,133.259306342701,19.2107921960788,7.5429784708326,41.9947526008199
"NM","y1995",64.6688690185547,115.581527815737,12.3697808406746,5.50388251532864,29.5275604224515
"NV","y1995",93.5261154174805,135.563764066345,16.9344008375553,8.86865591832693,38.7139125538808
"NY","y1995",70.8173217773438,145.576123348142,18.1896859119658,5.59907974178829,52.4934407510248
"OH","y1995",111.380104064941,108.852531687849,15.0175501644556,5.18345293634239,31.4960644506149
"OK","y1995",108.680107116699,111.637140672757,12.7259798707417,5.31605372177833,30.8398964412271
"OR","y1995",92.1557464599609,124.868774188966,14.8739288700609,0,40.6824165820442
"PA","y1995",95.6430892944336,115.592631488869,15.5763474284436,6.5429770628488,36.0892405163296
"RI","y1995",92.5998001098633,147.282975176151,15.7783941652992,9.63533501175432,52.4934407510248
"SC","y1995",108.082748413086,100.274768977236,12.7777515276555,4.77498995247116,20.3412082910221
"SD","y1995",97.2192306518555,110.261156276972,13.0234452865353,4.24081466568442,30.8398964412271
"TN","y1995",122.320053100586,109.624021705478,14.3047782963574,8.12029688433523,24.278216347349
"TX","y1995",73.0793075561523,130.054029344573,14.1245818237092,7.36155005875204,42.6509206102077
"UT","y1995",49.2721977233887,118.750830514889,12.3740879892799,5.65480085711796,33.1364844740844
"VA","y1995",105.386871337891,109.35778385853,16.0470608757427,5.20751381505882,17.3884560034004
"VT","y1995",122.334754943848,115.248527757384,14.0150982621621,5.48802548888717,28.8713924130636
"WA","y1995",65.5309219360352,156.895902595055,15.6678396908566,10.26421942395,52.8215247557187
"WI","y1995",92.4663467407227,132.139937945461,14.8119472741013,6.29237847418047,40.6824165820442
"WV","y1995",115.568832397461,109.2632474458,11.7537849931737,6.18471089164642,26.9028883849002
"WY","y1995",112.238136291504,104.029963146806,14.1166425401153,0,23.6220483379612
