"snum","dnum","stype","pw","fpc","api00","api99","ell","meals","mobility","enroll","api.stu","acs.k3","comp.imp","sch.wide"
4830,390,"E",44.2099990844727,4421,746,723,11,20,26,447,354,20,"No",1
5658,596,"E",44.2099990844727,4421,836,798,3,24,16,334,265,18,"Yes",1
4464,630,"H",15.1000003814697,755,680,657,5,50,14,1115,1099,NA,"Yes",1
5482,639,"E",44.2099990844727,4421,756,766,0,20,14,290,256,19,"No",0
2601,499,"M",20.3600006103516,1018,878,874,2,4,3,767,735,NA,"Yes",1
3179,621,"H",15.1000003814697,755,784,760,7,8,8,1956,1756,NA,"Yes",1
700,253,"E",44.2099990844727,4421,423,403,62,100,22,660,597,19,"No",1
1606,401,"E",44.2099990844727,4421,588,538,1,61,20,285,250,16,"Yes",1
3720,602,"E",44.2099990844727,4421,606,566,28,48,7,143,133,18,"Yes",1
3525,605,"E",44.2099990844727,4421,632,568,18,51,19,555,484,19,"Yes",1
418,473,"M",20.3600006103516,1018,753,696,5,17,8,829,714,NA,"Yes",1
2378,797,"E",44.2099990844727,4421,651,595,25,56,19,382,304,20,"Yes",1
280,20,"H",15.1000003814697,755,743,750,0,12,8,695,626,NA,"No",0
3975,148,"E",44.2099990844727,4421,553,499,33,80,25,571,436,20,"Yes",1
1555,401,"H",15.1000003814697,755,593,595,21,72,12,637,594,NA,"No",0
1027,784,"M",20.3600006103516,1018,528,524,32,77,4,529,492,NA,"No",0
4844,419,"E",44.2099990844727,4421,676,678,1,18,14,619,542,18,"No",0
532,781,"E",44.2099990844727,4421,861,856,7,10,12,270,239,19,"Yes",1
2180,498,"M",20.3600006103516,1018,678,669,13,18,20,775,653,NA,"No",1
3968,148,"H",15.1000003814697,755,518,535,22,39,9,1515,1309,NA,"No",0
4074,513,"M",20.3600006103516,1018,535,495,46,64,26,954,746,NA,"Yes",1
4026,238,"E",44.2099990844727,4421,588,533,24,54,17,441,383,19,"Yes",1
5967,182,"E",44.2099990844727,4421,597,527,18,76,17,387,338,20,"Yes",1
2617,735,"H",15.1000003814697,755,770,817,1,1,6,633,364,NA,"Yes",0
208,507,"E",44.2099990844727,4421,884,867,8,6,8,227,185,19,"No",1
3786,620,"M",20.3600006103516,1018,667,633,16,45,22,893,749,NA,"Yes",1
5641,512,"E",44.2099990844727,4421,819,801,10,11,12,155,137,19,"Yes",1
2878,108,"H",15.1000003814697,755,721,737,7,9,6,1771,1454,NA,"No",0
2807,273,"M",20.3600006103516,1018,534,529,50,72,17,635,461,NA,"No",0
5976,722,"H",15.1000003814697,755,713,631,0,19,6,588,318,NA,"Yes",1
688,253,"E",44.2099990844727,4421,542,524,40,100,21,325,288,19,"No",1
4406,376,"M",20.3600006103516,1018,648,621,14,47,16,725,613,NA,"No",1
508,650,"H",15.1000003814697,755,816,812,1,1,6,1469,1344,NA,"Yes",1
2129,457,"E",44.2099990844727,4421,509,495,37,72,16,437,366,20,"Yes",0
759,270,"E",44.2099990844727,4421,493,420,84,97,6,195,168,17,"Yes",1
4172,627,"M",20.3600006103516,1018,551,491,17,67,46,1087,963,NA,"Yes",1
1042,432,"M",20.3600006103516,1018,485,430,33,85,7,554,490,NA,"Yes",1
3283,223,"E",44.2099990844727,4421,893,890,1,1,8,445,395,NA,"Yes",1
864,394,"H",15.1000003814697,755,641,660,6,6,8,119,106,NA,"No",0
5505,114,"E",44.2099990844727,4421,709,584,2,77,20,292,228,18,"Yes",1
6155,787,"E",44.2099990844727,4421,596,583,32,83,23,332,320,20,"No",1
5843,225,"M",20.3600006103516,1018,765,713,1,52,13,358,273,NA,"Yes",1
2799,495,"E",44.2099990844727,4421,609,524,28,42,15,339,301,20,"Yes",1
5196,105,"E",44.2099990844727,4421,671,641,22,38,18,386,323,20,"Yes",1
1760,401,"E",44.2099990844727,4421,720,637,20,39,29,250,219,18,"Yes",1
753,333,"E",44.2099990844727,4421,669,536,50,100,17,587,478,18,"Yes",1
3364,158,"H",15.1000003814697,755,667,698,6,19,55,1989,1581,NA,"No",0
5162,655,"M",20.3600006103516,1018,743,739,17,19,6,802,386,NA,"No",1
2445,153,"M",20.3600006103516,1018,403,384,5,99,19,608,544,NA,"No",0
3678,275,"H",15.1000003814697,755,610,634,11,34,19,1139,665,NA,"No",0
1475,395,"E",44.2099990844727,4421,650,631,33,78,21,262,241,19,"No",1
999,492,"E",44.2099990844727,4421,836,772,1,10,17,304,251,18,"Yes",1
4796,382,"M",20.3600006103516,1018,695,651,14,36,13,525,434,NA,"No",1
1702,401,"E",44.2099990844727,4421,542,497,66,98,23,459,349,19,"Yes",1
3718,602,"H",15.1000003814697,755,618,570,17,23,7,195,178,NA,"No",1
3351,19,"E",44.2099990844727,4421,578,535,41,69,38,492,376,20,"Yes",1
2711,185,"M",20.3600006103516,1018,551,471,12,66,12,480,448,NA,"Yes",1
1520,395,"E",44.2099990844727,4421,814,783,9,28,14,615,552,20,"No",1
4067,513,"M",20.3600006103516,1018,467,455,54,73,13,892,774,NA,"No",0
4352,216,"E",44.2099990844727,4421,777,750,8,25,13,437,381,20,"Yes",1
3807,636,"H",15.1000003814697,755,717,694,16,29,21,1148,840,NA,"No",1
5356,635,"H",15.1000003814697,755,610,592,24,31,10,1032,932,NA,"Yes",1
3074,509,"E",44.2099990844727,4421,719,671,17,33,16,390,325,19,"Yes",1
1414,348,"H",15.1000003814697,755,868,858,2,0,4,1692,1552,NA,"Yes",1
4639,780,"H",15.1000003814697,755,678,680,5,21,10,2247,2052,NA,"No",0
5719,819,"E",44.2099990844727,4421,617,562,50,49,9,547,487,20,"Yes",1
2427,153,"H",15.1000003814697,755,418,383,24,100,72,1068,1147,NA,"Yes",1
6173,825,"M",20.3600006103516,1018,669,650,18,24,10,1191,1063,NA,"No",1
1358,266,"E",44.2099990844727,4421,856,854,19,4,17,365,326,18,"Yes",1
2192,532,"E",44.2099990844727,4421,723,671,12,46,99,770,645,18,"Yes",1
6098,774,"M",20.3600006103516,1018,773,732,6,24,12,934,845,NA,"Yes",1
1631,401,"E",44.2099990844727,4421,609,541,33,82,41,678,403,19,"Yes",1
5550,475,"M",20.3600006103516,1018,780,774,0,29,16,348,296,NA,"Yes",1
2999,259,"M",20.3600006103516,1018,693,688,33,46,12,714,591,NA,"No",0
5391,635,"M",20.3600006103516,1018,635,578,28,44,19,708,524,NA,"Yes",1
5762,450,"H",15.1000003814697,755,712,709,4,5,10,2018,1153,NA,"No",0
1360,266,"E",44.2099990844727,4421,676,616,51,76,9,271,261,18,"Yes",1
2831,478,"M",20.3600006103516,1018,660,622,8,36,15,895,783,NA,"No",1
6052,662,"E",44.2099990844727,4421,668,575,5,43,13,307,278,19,"Yes",1
3181,621,"H",15.1000003814697,755,784,744,3,5,12,1788,1593,NA,"Yes",1
4694,632,"H",15.1000003814697,755,472,497,25,20,15,216,162,NA,"No",0
760,270,"E",44.2099990844727,4421,421,398,69,98,23,620,500,20,"Yes",1
551,202,"H",15.1000003814697,755,764,760,0,1,4,1377,917,NA,"Yes",1
5076,706,"H",15.1000003814697,755,646,636,10,20,8,1115,914,NA,"No",1
1565,401,"H",15.1000003814697,755,585,606,16,23,12,2181,1958,NA,"No",0
1132,27,"H",15.1000003814697,755,556,545,6,33,14,1783,814,NA,"No",0
5446,448,"M",20.3600006103516,1018,733,703,29,33,11,696,595,NA,"No",1
498,796,"M",20.3600006103516,1018,657,627,10,24,22,933,756,NA,"Yes",1
859,64,"E",44.2099990844727,4421,667,607,7,41,11,153,123,17,"Yes",1
4649,780,"M",20.3600006103516,1018,606,575,15,57,15,1524,1254,NA,"Yes",1
3732,620,"H",15.1000003814697,755,600,580,21,36,15,1389,1137,NA,"No",1
2072,401,"M",20.3600006103516,1018,522,509,34,91,9,2171,1995,NA,"No",0
4686,632,"H",15.1000003814697,755,599,574,18,21,1,1313,1111,NA,"No",1
2625,423,"H",15.1000003814697,755,706,726,0,13,8,542,430,NA,"No",0
2426,153,"H",15.1000003814697,755,409,410,49,98,12,1684,1208,NA,"No",0
2631,25,"E",44.2099990844727,4421,631,639,59,67,12,213,175,19,"Yes",0
2641,760,"H",15.1000003814697,755,635,625,10,23,96,1520,1306,NA,"Yes",1
3497,531,"M",20.3600006103516,1018,601,574,0,38,18,1012,1082,NA,"Yes",1
1563,401,"H",15.1000003814697,755,477,484,34,86,6,3156,2900,NA,"No",0
3203,621,"E",44.2099990844727,4421,845,799,4,14,12,410,372,19,"Yes",1
4426,575,"M",20.3600006103516,1018,819,790,6,13,10,1358,1182,NA,"No",1
189,507,"E",44.2099990844727,4421,631,646,45,74,11,364,347,19,"No",0
3030,349,"E",44.2099990844727,4421,696,642,50,72,26,169,142,18,"Yes",1
6068,689,"E",44.2099990844727,4421,714,672,21,45,13,368,332,18,"Yes",1
5421,725,"E",44.2099990844727,4421,788,747,22,39,11,190,168,19,"Yes",1
4801,382,"E",44.2099990844727,4421,667,601,14,38,20,368,314,24,"Yes",1
6054,689,"H",15.1000003814697,755,710,706,3,8,11,763,691,NA,"No",0
3563,358,"E",44.2099990844727,4421,568,504,34,69,25,601,457,20,"Yes",1
938,176,"H",15.1000003814697,755,453,447,37,47,7,2237,1248,NA,"No",0
448,554,"H",15.1000003814697,755,546,524,8,38,22,1602,1178,NA,"Yes",1
2338,738,"E",44.2099990844727,4421,847,814,12,34,13,420,352,20,"Yes",1
146,484,"E",44.2099990844727,4421,679,664,39,36,13,613,534,20,"Yes",1
1858,401,"E",44.2099990844727,4421,477,424,56,98,22,446,351,19,"No",1
3365,158,"H",15.1000003814697,755,646,620,14,36,12,1754,1516,NA,"Yes",1
336,279,"M",20.3600006103516,1018,627,597,6,56,10,423,369,NA,"No",1
5986,308,"E",44.2099990844727,4421,521,500,69,88,6,482,446,20,"Yes",1
3324,802,"H",15.1000003814697,755,624,609,4,28,6,599,517,NA,"Yes",1
