"wage","education","experience","ethnicity","smsa","south","age","nearcollege"
278,13,9,"other","yes","no",28,"yes"
1442,18,10,"other","yes","no",34,"yes"
995,16,5,"other","yes","no",27,"yes"
700,12,11,"other","yes","no",29,"yes"
577,16,6,"other","yes","no",28,"yes"
858,16,9,"other","yes","no",31,"yes"
686,12,10,"other","yes","no",28,"yes"
832,15,10,"other","yes","no",31,"yes"
633,13,14,"other","yes","no",33,"yes"
689,12,14,"other","yes","no",32,"yes"
769,14,10,"other","yes","no",30,"yes"
385,15,6,"other","yes","no",27,"yes"
450,12,6,"other","yes","no",24,"yes"
615,12,9,"other","yes","no",27,"yes"
682,12,16,"other","yes","no",34,"yes"
670,10,16,"other","yes","no",32,"yes"
800,11,16,"other","yes","no",33,"yes"
505,14,14,"other","yes","no",34,"yes"
1026,18,6,"other","yes","no",30,"yes"
769,15,4,"other","yes","no",25,"yes"
290,10,16,"other","yes","yes",32,"yes"
529,13,9,"other","yes","no",28,"yes"
1154,16,7,"other","yes","no",29,"yes"
549,10,13,"other","yes","no",29,"yes"
475,12,8,"other","yes","no",26,"yes"
450,12,8,"other","yes","no",26,"yes"
875,17,4,"other","yes","no",27,"yes"
200,15,4,"other","yes","no",25,"yes"
300,13,7,"other","no","no",26,"yes"
462,16,3,"other","no","no",25,"yes"
385,12,12,"other","yes","no",30,"yes"
1282,15,11,"other","yes","no",32,"yes"
588,16,3,"other","yes","no",25,"yes"
600,12,9,"other","yes","no",27,"yes"
500,16,8,"other","yes","no",30,"yes"
440,12,15,"afam","yes","no",33,"yes"
467,18,2,"other","yes","yes",26,"yes"
929,17,6,"other","yes","no",29,"yes"
556,16,5,"other","yes","no",27,"yes"
438,13,5,"other","yes","no",24,"yes"
600,12,11,"afam","yes","no",29,"yes"
575,12,8,"afam","yes","no",26,"yes"
389,12,8,"afam","yes","no",26,"yes"
795,12,16,"other","no","no",34,"yes"
471,18,3,"other","yes","no",27,"yes"
202,17,3,"other","yes","no",26,"yes"
200,17,1,"other","yes","no",24,"yes"
350,17,1,"other","yes","no",24,"yes"
375,14,4,"other","no","no",24,"yes"
481,16,3,"other","yes","no",25,"yes"
962,18,7,"other","yes","no",31,"yes"
423,15,6,"other","yes","no",27,"yes"
500,15,6,"other","yes","no",27,"yes"
450,9,15,"other","yes","no",30,"yes"
476,8,14,"other","yes","no",28,"yes"
136,12,6,"other","yes","no",24,"yes"
575,12,14,"other","yes","no",32,"yes"
577,12,15,"other","yes","no",33,"yes"
310,12,13,"other","yes","no",31,"yes"
700,9,15,"other","yes","no",30,"yes"
1322,14,12,"other","yes","no",32,"yes"
551,10,18,"other","yes","no",34,"yes"
881,17,7,"other","yes","no",30,"yes"
760,12,7,"other","yes","no",25,"yes"
708,12,14,"other","yes","no",32,"yes"
425,12,8,"other","yes","no",26,"yes"
427,12,8,"other","yes","no",26,"yes"
576,16,2,"other","yes","no",24,"yes"
400,9,17,"other","yes","no",32,"yes"
500,12,13,"other","no","no",31,"yes"
531,12,10,"other","no","no",28,"yes"
673,16,6,"other","yes","no",28,"yes"
577,16,5,"other","yes","yes",27,"yes"
325,16,2,"other","yes","no",24,"yes"
500,11,12,"other","no","no",29,"yes"
770,12,7,"other","no","no",25,"yes"
500,12,8,"other","yes","no",26,"yes"
391,16,6,"other","yes","no",28,"yes"
810,12,16,"other","yes","no",34,"yes"
543,9,19,"afam","no","no",34,"yes"
593,9,19,"afam","no","no",34,"yes"
864,17,2,"other","yes","no",25,"yes"
700,10,12,"afam","no","no",28,"yes"
510,12,7,"other","no","no",25,"yes"
615,13,15,"other","yes","no",34,"yes"
761,14,9,"other","yes","no",29,"yes"
493,10,15,"other","yes","no",31,"yes"
445,16,2,"other","yes","no",24,"yes"
425,12,7,"other","yes","no",25,"yes"
750,16,2,"other","yes","no",24,"yes"
700,16,2,"other","yes","no",24,"yes"
438,12,6,"other","yes","no",24,"yes"
608,12,11,"other","yes","no",29,"yes"
450,13,5,"other","yes","no",24,"yes"
313,3,17,"other","yes","no",26,"yes"
250,7,20,"afam","yes","no",33,"yes"
500,14,13,"other","yes","no",33,"yes"
365,12,8,"other","yes","no",26,"no"
813,12,8,"other","yes","no",26,"no"
326,12,7,"other","no","no",25,"no"
524,12,11,"other","no","no",29,"no"
815,13,9,"other","yes","no",28,"no"
750,12,10,"other","yes","no",28,"no"
525,17,1,"other","yes","no",24,"no"
1125,12,14,"other","yes","no",32,"no"
625,12,10,"other","yes","no",28,"no"
715,14,5,"other","yes","no",25,"no"
591,12,13,"other","no","no",31,"no"
404,17,4,"other","yes","no",27,"no"
675,12,10,"other","yes","no",28,"yes"
444,12,7,"other","yes","no",25,"yes"
488,12,6,"other","yes","no",24,"yes"
695,9,19,"other","yes","no",34,"yes"
700,12,7,"other","yes","yes",25,"yes"
325,12,6,"other","yes","yes",24,"yes"
556,9,10,"other","yes","no",25,"yes"
325,12,8,"other","yes","no",26,"yes"
668,13,7,"other","yes","no",26,"yes"
2404,18,7,"other","yes","no",31,"yes"
758,16,3,"other","yes","no",25,"yes"
986,16,12,"other","yes","no",34,"yes"
577,12,7,"other","yes","no",25,"yes"
286,17,6,"other","no","no",29,"yes"
231,14,8,"other","yes","yes",28,"yes"
513,12,7,"other","yes","no",25,"yes"
615,15,7,"other","yes","no",28,"yes"
700,15,4,"other","yes","no",25,"yes"
714,18,9,"other","yes","no",33,"yes"
701,9,15,"other","yes","no",30,"yes"
462,12,6,"afam","yes","no",24,"yes"
868,18,4,"other","yes","no",28,"yes"
917,16,7,"other","no","no",29,"yes"
1065,12,9,"other","yes","no",27,"yes"
400,12,11,"other","yes","yes",29,"yes"
640,12,9,"other","yes","no",27,"yes"
285,13,5,"other","yes","no",24,"yes"
641,17,4,"other","yes","yes",27,"yes"
389,13,13,"other","yes","no",32,"yes"
1010,12,7,"other","yes","no",25,"yes"
817,12,6,"other","no","no",24,"yes"
975,17,4,"other","yes","no",27,"yes"
750,12,11,"afam","yes","no",29,"yes"
463,15,3,"other","no","no",24,"yes"
1387,12,10,"other","yes","no",28,"yes"
577,12,7,"other","yes","no",25,"yes"
401,12,9,"other","yes","no",27,"yes"
320,10,10,"other","yes","no",26,"yes"
514,12,9,"other","yes","no",27,"yes"
208,11,8,"other","yes","no",25,"yes"
1192,17,4,"other","yes","no",27,"yes"
625,14,6,"other","yes","no",26,"yes"
481,17,11,"other","yes","no",34,"yes"
714,13,8,"other","yes","no",27,"yes"
625,11,10,"other","yes","no",27,"yes"
553,12,12,"other","yes","no",30,"yes"
579,12,16,"other","yes","no",34,"yes"
841,18,4,"other","yes","no",28,"yes"
1923,18,9,"other","yes","no",33,"yes"
806,16,4,"other","yes","no",26,"yes"
344,12,11,"afam","yes","no",29,"yes"
962,12,14,"other","yes","no",32,"yes"
600,12,14,"other","no","no",32,"yes"
837,18,10,"other","yes","no",34,"yes"
625,16,2,"other","yes","no",24,"yes"
563,16,6,"other","yes","no",28,"yes"
1410,16,6,"other","yes","no",28,"yes"
480,12,7,"other","yes","no",25,"yes"
600,12,6,"other","yes","no",24,"yes"
300,9,13,"other","yes","no",28,"yes"
505,9,10,"other","yes","no",25,"yes"
417,14,5,"afam","yes","no",25,"yes"
300,12,6,"afam","yes","no",24,"yes"
865,18,3,"other","yes","no",27,"yes"
300,16,3,"other","yes","no",25,"yes"
721,12,14,"other","yes","no",32,"yes"
856,12,16,"other","yes","no",34,"yes"
738,10,14,"other","yes","no",30,"yes"
1058,17,8,"afam","yes","no",31,"yes"
529,12,14,"afam","yes","no",32,"yes"
572,11,17,"other","yes","no",34,"yes"
805,12,14,"other","no","no",32,"yes"
400,10,14,"other","yes","no",30,"yes"
962,18,5,"other","yes","no",29,"yes"
817,18,3,"other","yes","no",27,"yes"
740,13,9,"other","yes","no",28,"yes"
721,18,6,"other","yes","no",30,"yes"
913,18,0,"other","yes","no",24,"yes"
379,17,4,"other","yes","no",27,"yes"
350,14,6,"other","yes","no",26,"yes"
694,11,16,"other","yes","no",33,"yes"
1014,12,14,"other","yes","yes",32,"yes"
1136,18,10,"other","yes","no",34,"yes"
1709,18,6,"other","yes","no",30,"yes"
529,12,8,"other","yes","no",26,"yes"
673,17,9,"afam","yes","no",32,"yes"
1010,17,5,"other","yes","no",28,"yes"
846,18,4,"other","yes","no",28,"yes"
710,11,10,"other","yes","no",27,"yes"
820,16,4,"other","no","no",26,"yes"
447,12,6,"other","yes","no",24,"yes"
500,15,4,"other","yes","no",25,"yes"
1049,16,9,"other","yes","no",31,"yes"
1202,18,5,"other","yes","no",29,"yes"
690,12,15,"other","yes","no",33,"yes"
648,16,6,"other","yes","no",28,"yes"
875,13,11,"other","yes","no",30,"yes"
548,17,2,"other","yes","no",25,"yes"
600,7,15,"other","yes","no",28,"yes"
2244,15,13,"other","yes","no",34,"yes"
1442,12,13,"other","yes","no",31,"yes"
320,12,16,"afam","yes","no",34,"yes"
1262,18,9,"other","yes","no",33,"yes"
600,12,6,"other","yes","no",24,"yes"
300,11,9,"afam","yes","no",26,"yes"
538,16,2,"other","yes","no",24,"yes"
744,12,15,"other","no","no",33,"yes"
846,12,15,"other","yes","no",33,"yes"
813,16,7,"other","yes","no",29,"yes"
1000,12,10,"other","yes","no",28,"yes"
561,16,4,"other","yes","no",26,"yes"
285,18,2,"other","yes","no",26,"yes"
437,16,5,"other","yes","no",27,"yes"
325,13,6,"other","yes","no",25,"yes"
580,16,6,"other","yes","no",28,"yes"
588,16,4,"afam","yes","no",26,"yes"
801,18,5,"other","yes","no",29,"yes"
312,14,5,"other","yes","no",25,"yes"
250,12,11,"afam","yes","no",29,"yes"
500,15,6,"afam","yes","no",27,"yes"
750,12,15,"afam","yes","no",33,"yes"
343,13,12,"other","yes","yes",31,"yes"
250,15,7,"other","yes","no",28,"yes"
700,16,2,"other","yes","no",24,"yes"
400,12,7,"other","yes","no",25,"yes"
555,17,4,"other","yes","no",27,"yes"
699,15,7,"other","yes","no",28,"yes"
1923,14,4,"other","yes","no",24,"yes"
1216,18,8,"other","yes","no",32,"yes"
615,16,7,"other","yes","no",29,"yes"
745,14,5,"other","yes","no",25,"yes"
458,16,2,"other","yes","no",24,"yes"
647,18,1,"other","yes","no",25,"yes"
745,12,7,"other","yes","no",25,"yes"
815,16,3,"other","yes","yes",25,"yes"
865,16,9,"other","yes","no",31,"yes"
542,12,10,"other","yes","no",28,"yes"
365,13,8,"other","yes","no",27,"yes"
417,10,8,"other","yes","no",24,"yes"
657,16,5,"other","yes","no",27,"yes"
529,15,5,"other","yes","no",26,"yes"
851,17,6,"other","yes","no",29,"yes"
663,12,7,"other","yes","no",25,"yes"
529,16,2,"other","yes","no",24,"yes"
889,18,4,"other","yes","no",28,"yes"
865,17,5,"other","yes","yes",28,"yes"
231,18,2,"other","yes","yes",26,"yes"
802,12,14,"other","no","yes",32,"yes"
533,13,8,"other","yes","no",27,"yes"
775,15,4,"afam","yes","no",25,"yes"
476,14,4,"afam","yes","no",24,"yes"
865,16,11,"other","yes","no",33,"yes"
1014,16,6,"other","no","no",28,"yes"
641,18,8,"other","yes","no",32,"yes"
333,16,2,"other","yes","no",24,"yes"
556,11,17,"afam","yes","no",34,"yes"
528,18,2,"other","yes","no",26,"yes"
635,12,8,"other","yes","no",26,"yes"
500,11,10,"afam","yes","yes",27,"yes"
1154,16,12,"afam","yes","no",34,"yes"
855,18,2,"other","yes","no",26,"yes"
479,12,10,"other","no","no",28,"yes"
817,18,1,"other","yes","yes",25,"yes"
692,18,5,"other","yes","no",29,"yes"
989,16,11,"other","no","no",33,"yes"
447,16,9,"other","yes","yes",31,"yes"
1002,18,10,"other","yes","no",34,"yes"
1241,18,10,"other","yes","no",34,"yes"
921,14,12,"other","no","no",32,"yes"
571,12,10,"other","yes","no",28,"yes"
525,12,13,"other","yes","no",31,"yes"
1154,12,10,"other","yes","no",28,"yes"
480,12,6,"afam","yes","no",24,"yes"
839,11,7,"other","yes","no",24,"yes"
1402,14,13,"other","yes","no",33,"yes"
400,13,8,"afam","yes","no",27,"yes"
710,12,15,"other","yes","no",33,"yes"
635,14,4,"other","yes","no",24,"yes"
388,13,7,"other","yes","no",26,"yes"
688,12,8,"other","yes","no",26,"yes"
630,12,16,"other","yes","no",34,"yes"
1044,15,13,"other","yes","no",34,"yes"
577,12,6,"other","yes","no",24,"yes"
500,12,7,"other","yes","no",25,"yes"
781,12,16,"other","no","no",34,"yes"
577,13,7,"other","yes","no",26,"yes"
525,13,6,"other","yes","no",25,"yes"
385,17,5,"other","yes","no",28,"yes"
625,12,11,"other","yes","no",29,"yes"
625,16,6,"other","yes","no",28,"yes"
475,13,7,"other","yes","no",26,"yes"
659,14,5,"other","yes","no",25,"yes"
425,16,2,"other","yes","no",24,"yes"
524,14,5,"other","yes","no",25,"yes"
625,12,8,"other","yes","no",26,"no"
1010,16,9,"other","yes","no",31,"no"
601,12,8,"other","yes","no",26,"no"
808,12,9,"other","yes","no",27,"no"
426,12,10,"other","yes","no",28,"no"
1060,12,12,"other","yes","no",30,"no"
414,12,8,"other","yes","no",26,"no"
492,12,12,"other","yes","no",30,"no"
325,12,9,"other","yes","no",27,"no"
275,12,10,"other","yes","no",28,"no"
291,12,7,"other","yes","no",25,"no"
731,18,7,"other","yes","yes",31,"no"
488,14,6,"other","yes","yes",26,"no"
337,14,4,"other","yes","no",24,"no"
725,12,9,"other","yes","no",27,"no"
440,13,6,"other","no","no",25,"no"
641,16,5,"other","no","no",27,"no"
375,12,10,"other","yes","no",28,"no"
481,12,7,"other","yes","no",25,"no"
925,14,9,"other","yes","no",29,"no"
514,12,8,"other","yes","no",26,"no"
1065,12,15,"other","yes","no",33,"no"
638,12,10,"other","yes","no",28,"no"
739,12,14,"other","yes","no",32,"no"
493,12,8,"other","yes","no",26,"no"
650,10,8,"other","yes","yes",24,"no"
308,7,18,"other","yes","no",31,"no"
629,16,8,"other","yes","no",30,"no"
409,13,9,"other","no","no",28,"no"
600,18,9,"other","yes","no",33,"no"
745,12,10,"other","no","no",28,"no"
625,17,8,"other","yes","no",31,"no"
549,12,11,"other","no","no",29,"no"
326,15,3,"other","no","no",24,"no"
258,9,11,"other","no","no",26,"no"
875,12,8,"other","yes","no",26,"yes"
639,12,7,"other","no","no",25,"yes"
667,11,16,"other","no","no",33,"yes"
504,14,9,"other","yes","yes",29,"yes"
313,17,2,"other","yes","yes",25,"yes"
1010,18,3,"other","yes","yes",27,"yes"
1000,10,17,"other","no","no",33,"yes"
721,16,6,"other","no","no",28,"yes"
785,12,9,"other","no","no",27,"yes"
546,12,16,"other","no","no",34,"yes"
828,12,7,"other","no","no",25,"yes"
159,12,7,"other","no","no",25,"yes"
700,10,11,"other","no","no",27,"yes"
721,13,9,"other","no","no",28,"yes"
304,12,6,"other","no","no",24,"yes"
553,16,3,"other","yes","no",25,"yes"
542,14,6,"other","yes","yes",26,"yes"
509,16,2,"other","no","no",24,"yes"
385,16,2,"other","no","no",24,"yes"
1442,12,14,"other","yes","no",32,"no"
879,16,10,"other","yes","no",32,"no"
1000,13,5,"other","yes","no",24,"no"
863,12,10,"other","no","no",28,"no"
740,12,9,"other","no","no",27,"no"
889,12,16,"other","no","no",34,"no"
458,15,8,"other","yes","no",29,"no"
450,12,16,"other","yes","no",34,"yes"
700,12,16,"other","yes","no",34,"yes"
744,14,13,"other","yes","no",33,"yes"
889,16,10,"other","yes","no",32,"yes"
692,18,8,"other","yes","no",32,"yes"
604,18,9,"other","no","no",33,"yes"
625,18,6,"other","yes","no",30,"yes"
746,14,13,"other","yes","no",33,"yes"
726,18,9,"other","yes","no",33,"yes"
560,12,12,"other","yes","no",30,"yes"
424,12,8,"other","no","no",26,"yes"
400,12,8,"other","no","no",26,"yes"
250,14,6,"other","yes","no",26,"yes"
646,13,7,"other","yes","no",26,"yes"
598,12,6,"other","yes","no",24,"yes"
1000,12,9,"other","yes","no",27,"yes"
528,12,10,"other","no","no",28,"yes"
481,12,8,"other","no","no",26,"yes"
850,12,15,"other","no","no",33,"yes"
506,14,10,"other","no","no",30,"yes"
512,12,11,"other","yes","no",29,"yes"
220,11,9,"other","yes","no",26,"yes"
154,16,2,"other","yes","no",24,"yes"
240,12,13,"other","yes","no",31,"yes"
557,12,10,"other","yes","no",28,"yes"
500,15,6,"other","yes","no",27,"yes"
372,16,4,"other","yes","no",26,"yes"
350,10,9,"other","no","no",25,"yes"
584,12,8,"other","no","no",26,"yes"
515,13,7,"other","no","no",26,"yes"
390,12,11,"other","no","no",29,"no"
280,16,3,"other","no","no",25,"no"
690,12,15,"other","no","no",33,"no"
300,12,8,"other","no","no",26,"no"
635,17,4,"other","no","no",27,"no"
342,13,7,"other","no","no",26,"no"
505,16,4,"other","no","no",26,"no"
356,13,5,"other","no","no",24,"no"
262,12,15,"other","no","no",33,"no"
400,10,16,"other","no","no",32,"no"
740,13,10,"other","no","no",29,"no"
342,12,16,"other","no","no",34,"no"
276,15,8,"other","no","no",29,"no"
427,9,9,"other","no","no",24,"no"
239,12,7,"other","no","no",25,"no"
385,13,5,"other","no","no",24,"no"
350,12,11,"other","no","no",29,"no"
599,12,11,"other","no","no",29,"no"
750,15,10,"other","yes","no",31,"no"
692,16,11,"other","no","no",33,"no"
147,12,16,"other","no","no",34,"no"
280,12,8,"other","yes","no",26,"yes"
769,18,8,"other","yes","no",32,"yes"
1010,13,13,"other","yes","no",32,"yes"
517,14,6,"other","no","no",26,"yes"
400,16,4,"other","no","no",26,"yes"
375,12,7,"other","no","no",25,"yes"
596,12,13,"other","no","no",31,"yes"
350,7,18,"other","no","no",31,"yes"
417,11,16,"other","no","no",33,"yes"
338,16,7,"other","no","no",29,"yes"
481,18,2,"other","no","no",26,"yes"
500,12,10,"other","no","no",28,"yes"
305,12,9,"other","no","no",27,"yes"
450,10,18,"other","no","no",34,"yes"
769,16,7,"other","yes","no",29,"yes"
721,16,4,"other","yes","no",26,"yes"
1000,13,10,"other","yes","no",29,"yes"
625,14,10,"other","yes","no",30,"yes"
817,16,4,"other","yes","no",26,"yes"
377,12,16,"other","yes","no",34,"yes"
708,12,15,"other","yes","no",33,"yes"
411,14,4,"other","yes","no",24,"yes"
1339,13,13,"other","yes","no",32,"yes"
716,12,16,"other","no","no",34,"yes"
192,10,16,"afam","yes","no",32,"yes"
797,16,10,"afam","yes","no",32,"yes"
924,16,12,"afam","yes","no",34,"yes"
240,15,5,"afam","yes","no",26,"yes"
625,13,6,"other","yes","no",25,"yes"
1025,8,10,"other","yes","no",24,"yes"
503,12,10,"afam","no","yes",28,"yes"
462,16,6,"other","yes","no",28,"yes"
476,16,3,"other","no","no",25,"yes"
500,15,5,"other","yes","yes",26,"yes"
1000,12,16,"other","no","no",34,"yes"
663,13,15,"other","no","no",34,"yes"
707,15,13,"other","yes","no",34,"yes"
928,16,9,"other","yes","yes",31,"yes"
300,12,6,"other","no","no",24,"yes"
365,15,6,"other","yes","no",27,"yes"
645,12,12,"other","yes","no",30,"yes"
462,18,1,"other","no","no",25,"yes"
1026,18,9,"other","yes","no",33,"yes"
525,12,6,"other","yes","no",24,"yes"
375,18,5,"other","yes","no",29,"yes"
1538,18,10,"other","yes","no",34,"yes"
923,18,9,"other","yes","no",33,"yes"
568,13,7,"other","yes","no",26,"yes"
600,14,5,"other","yes","no",25,"yes"
721,15,6,"other","yes","no",27,"yes"
1116,17,1,"other","yes","no",24,"yes"
712,14,7,"other","yes","no",27,"yes"
