"art","fem","mar","kid5","phd","ment","expo","wt"
0,"Women","Single",0,1.00499999523163,0,1.74,1
0,"Men","Single",0,2.11999988555908,2,1.74,1
0,"Women","Married",2,2.57999992370605,0,1.58,3
0,"Women","Married",0,1.78999996185303,1,0.73,2
0,"Men","Single",0,4.28999996185303,2,1.75,3
0,"Women","Married",0,1.27999997138977,4,0.53,3
0,"Men","Married",2,2.57999992370605,5,1.88,3
0,"Men","Married",2,2.11999988555908,0,0.56,1
0,"Men","Married",1,2.21000003814697,1,1.55,1
0,"Men","Married",1,2.25999999046326,5,1.16,3
0,"Women","Single",0,3.21000003814697,5,0.97,3
0,"Women","Single",0,2.09999990463257,2,1.91,1
0,"Women","Married",1,3.53999996185303,1,1.74,1
0,"Men","Married",1,3.40000009536743,18,0.82,2
0,"Men","Married",0,2.21000003814697,6,0.64,1
0,"Men","Married",0,2.21000003814697,19,1.21,2
0,"Men","Married",2,0.920000016689301,1,0.58,3
0,"Women","Single",0,4.28999996185303,35,1.96,1
0,"Men","Married",2,3.15000009536743,6,1.67,3
0,"Men","Married",0,4.28999996185303,19,0.99,3
0,"Men","Married",1,2.50999999046326,8,1.42,3
0,"Men","Married",1,4.28999996185303,1,1.57,2
0,"Women","Married",0,2.75999999046326,0,1,3
0,"Men","Married",0,1.41999995708466,3,0.78,3
0,"Men","Married",0,2.21000003814697,19,1.1,3
0,"Men","Single",0,4.1399998664856,5,0.98,2
0,"Men","Married",0,1.51999998092651,7,1.72,1
0,"Men","Single",0,4.61999988555908,8,0.85,1
0,"Women","Single",0,3.61999988555908,7,1.44,3
0,"Women","Married",2,3.75,4,1.21,3
0,"Men","Married",0,4.28999996185303,8,1.18,3
0,"Women","Single",0,3.75,5,1.89,2
0,"Men","Married",1,2.09999990463257,0,1.58,1
0,"Men","Married",2,1.39999997615814,7,1.36,1
0,"Women","Married",0,3.19000005722046,4,1.88,2
0,"Men","Married",2,1.80999994277954,1,1.77,2
0,"Men","Married",1,3.15000009536743,2,1.1,3
0,"Women","Married",0,3.75,7,0.92,2
0,"Women","Single",0,2.04999995231628,6,1.28,2
0,"Men","Married",3,2.21000003814697,3,1.18,3
0,"Women","Married",2,3.35999989509583,2,0.97,1
0,"Women","Married",0,3.47000002861023,11,0.77,3
0,"Women","Single",0,2.11999988555908,0,1.27,3
0,"Women","Married",1,3.35999989509583,2,1.66,3
0,"Men","Married",0,2.53999996185303,5,0.94,1
0,"Men","Married",2,2.15000009536743,4,1.18,3
0,"Men","Married",1,4.53999996185303,3,1.09,1
0,"Men","Married",0,1.67999994754791,4,1.21,2
0,"Women","Married",1,2.54999995231628,0,0.65,1
0,"Women","Single",0,2.11999988555908,11,1.39,1
0,"Men","Married",1,3.47000002861023,2,0.78,1
0,"Women","Married",0,3.47000002861023,1,0.69,2
0,"Women","Single",0,3.35999989509583,9,1.97,3
0,"Men","Married",1,2.11999988555908,10,1.71,1
0,"Women","Single",0,2.09999990463257,1,1.8,1
0,"Women","Single",0,4.28999996185303,1,0.92,3
0,"Men","Married",1,2.85999989509583,13,0.56,3
0,"Women","Married",1,4.28999996185303,9,1.54,2
0,"Men","Married",0,3.21000003814697,2,1.64,1
0,"Men","Single",0,2.09999990463257,0,0.84,3
0,"Women","Married",0,1.80999994277954,5,1,2
0,"Women","Single",0,2.51999998092651,2,1.05,2
0,"Men","Married",1,3.35999989509583,23,0.77,1
0,"Women","Married",0,4.53999996185303,4,0.53,3
0,"Women","Married",1,4.28999996185303,4,1.77,2
0,"Women","Single",0,2.11999988555908,9,1.07,3
0,"Men","Married",2,4.61999988555908,30,0.51,3
0,"Women","Married",1,3.58999991416931,14,0.65,1
0,"Women","Single",0,3.58999991416931,4,1.15,1
0,"Men","Married",3,2.85999989509583,1,1.08,2
0,"Women","Single",0,1.50499999523163,3,1.39,3
0,"Women","Married",1,2.5,0,1.13,2
0,"Women","Married",0,4.61999988555908,0,0.87,1
0,"Men","Single",0,2.5,0,1.12,2
0,"Women","Married",1,3.35999989509583,3,1.85,1
0,"Women","Single",0,2,2,1.45,1
0,"Women","Married",2,3.41000008583069,5,1.59,3
0,"Men","Married",0,2.09999990463257,0,1.27,1
0,"Women","Single",0,2,2,1.47,1
0,"Men","Married",0,3.35999989509583,2,1.49,1
0,"Men","Married",3,3.58999991416931,7,1.55,2
0,"Men","Single",0,2.14000010490417,2,1.16,3
0,"Women","Married",0,3.58999991416931,12,1.42,1
0,"Women","Single",0,2.39000010490417,10,1.75,1
0,"Men","Married",3,4.53999996185303,11,0.62,2
0,"Men","Single",0,2.96000003814697,2,1.32,2
0,"Men","Married",1,2.21000003814697,5,1.54,3
0,"Men","Married",2,3.69000005722046,5,1.36,3
0,"Women","Married",0,1.77999997138977,1,0.98,2
0,"Women","Single",0,2.85999989509583,11,0.93,2
0,"Men","Married",0,2.85999989509583,8,1.72,2
0,"Women","Married",0,2.57999992370605,3,1.54,1
0,"Women","Single",0,3.75,1,1.01,1
0,"Women","Married",1,1.22000002861023,11,0.56,3
0,"Women","Single",0,2.09999990463257,9,1.86,3
0,"Women","Single",0,3.58999991416931,18,1.75,3
0,"Women","Single",0,3.53999996185303,5,1.47,2
0,"Women","Single",0,2.85999989509583,16,1.24,2
0,"Women","Married",0,1.86000001430511,6,0.76,1
0,"Men","Married",0,2.96000003814697,0,1.63,2
0,"Women","Married",0,3.69000005722046,7,1.97,2
0,"Women","Married",0,3.69000005722046,2,0.86,3
0,"Women","Married",0,4.28999996185303,1,1.89,3
0,"Women","Single",0,2.51999998092651,1,1.99,1
0,"Women","Single",0,1.75999999046326,10,0.56,1
0,"Men","Married",2,2.3199999332428,2,0.98,1
0,"Women","Single",0,3.69000005722046,2,1.8,3
0,"Women","Single",0,3.75,14,1.2,1
0,"Women","Single",0,4.28999996185303,5,1.95,2
0,"Women","Married",2,4.53999996185303,6,0.95,1
0,"Men","Married",1,2.09999990463257,0,0.63,2
0,"Women","Married",1,2.53999996185303,0,1.73,2
0,"Men","Married",1,2.21000003814697,19,1.59,2
0,"Men","Single",0,4.53999996185303,8,0.72,1
0,"Men","Married",1,2.09999990463257,12,1.23,2
0,"Men","Single",0,2.25999999046326,5,1.57,2
0,"Women","Married",1,4.61999988555908,15,0.64,3
0,"Women","Single",0,2.75999999046326,4,1.72,3
0,"Women","Single",0,4.28999996185303,12,0.83,3
0,"Women","Single",0,0.754999995231628,0,1.76,3
0,"Women","Married",0,1.83000004291534,2,0.74,2
0,"Women","Single",0,1.78999996185303,0,1.47,2
0,"Women","Married",1,4.28999996185303,6,1.63,1
0,"Women","Single",0,2.5,0,1.05,1
0,"Men","Married",0,2.14000010490417,1,1.9,1
0,"Men","Married",2,3.40000009536743,13,0.94,3
0,"Women","Single",0,2.86999988555908,15,1.02,1
0,"Women","Married",0,2.96000003814697,0,1.14,1
0,"Women","Married",2,3.19000005722046,0,1.42,3
0,"Men","Married",1,3.69000005722046,16,1.21,3
0,"Women","Married",2,1.25499999523163,0,1.5,1
0,"Men","Married",2,4.1399998664856,12,0.53,2
0,"Men","Married",1,2.39000010490417,5,0.69,2
0,"Men","Married",2,3.92000007629395,2,1.81,2
0,"Women","Single",0,2.96000003814697,4,1.56,2
0,"Women","Married",0,2.11999988555908,2,1.63,3
0,"Women","Married",2,2.11999988555908,1,1.27,1
0,"Women","Married",0,2.60999989509583,3,1.37,1
0,"Men","Single",0,4.28999996185303,0,0.78,2
0,"Men","Married",3,2.85999989509583,7,1.22,3
0,"Women","Married",0,2.39000010490417,0,0.89,1
0,"Men","Married",2,3.33999991416931,1,1.72,3
0,"Women","Single",0,3.61999988555908,8,1.63,3
0,"Women","Married",1,3.58999991416931,8,1.11,1
0,"Men","Married",2,4.53999996185303,1,1.24,3
0,"Women","Married",0,3.58999991416931,1,0.54,3
0,"Men","Single",0,4.28999996185303,9,0.99,2
0,"Men","Married",0,1.51999998092651,4,0.84,2
0,"Men","Married",0,4.28999996185303,6,0.66,2
0,"Women","Married",0,4.61999988555908,5,1.85,3
0,"Men","Married",1,4.28999996185303,13,0.53,2
0,"Men","Married",0,2.50999999046326,3,0.76,3
0,"Men","Single",0,2.85999989509583,3,1.16,3
0,"Women","Married",0,2.96000003814697,8,1.92,3
0,"Women","Married",0,3.69000005722046,3,0.86,3
0,"Women","Married",0,3.47000002861023,2,1.99,2
0,"Men","Married",2,4.28999996185303,15,1.7,3
0,"Men","Single",0,4.28999996185303,0,1.33,2
0,"Women","Single",0,3.92000007629395,1,1.72,2
0,"Women","Married",0,2,6,0.63,1
0,"Men","Married",0,2.3199999332428,4,0.73,2
0,"Women","Married",1,2,9,1.68,2
0,"Men","Married",1,1.67999994754791,27,0.63,3
0,"Men","Single",0,3.47000002861023,0,0.59,1
0,"Men","Married",0,2.20000004768372,2,1.9,2
0,"Men","Married",1,2.11999988555908,10,1.52,3
0,"Women","Single",0,1.39999997615814,14,0.73,3
0,"Women","Single",0,3.35999989509583,3,1.28,1
0,"Men","Married",2,4.28999996185303,24,0.54,1
0,"Men","Married",1,2.09999990463257,0,1.13,1
0,"Men","Single",0,4.28999996185303,5,1.75,1
0,"Women","Single",0,4.28999996185303,0,1.82,2
0,"Women","Single",0,2.82999992370605,1,0.81,1
0,"Men","Married",1,2.57999992370605,6,1.72,3
0,"Women","Married",0,3.15000009536743,7,1.99,3
0,"Men","Single",0,4.28999996185303,2,0.64,2
0,"Men","Single",0,2.96000003814697,0,1.27,3
0,"Men","Married",2,3.58999991416931,5,0.58,2
0,"Women","Single",0,2.39000010490417,15,0.69,2
0,"Women","Single",0,1.25,2,1.78,1
0,"Women","Single",0,2.75999999046326,1,0.94,2
0,"Men","Married",0,3.40000009536743,13,1.42,1
0,"Men","Single",0,4.28999996185303,7,0.67,2
0,"Women","Single",0,3.69000005722046,4,1.02,2
0,"Women","Married",0,2.85999989509583,13,0.76,2
0,"Women","Single",0,4.28999996185303,3,1.84,1
0,"Women","Single",0,4.1399998664856,2,0.59,2
0,"Women","Married",0,2.39000010490417,2,0.63,1
0,"Men","Married",2,2.85999989509583,11,1.92,1
0,"Women","Married",0,2.96000003814697,7,0.61,2
0,"Men","Single",0,3.58999991416931,8,1.45,3
0,"Men","Married",1,1.80999994277954,5,1.87,1
0,"Men","Married",1,4.28999996185303,2,1.14,2
0,"Men","Married",1,2.09999990463257,0,0.54,1
0,"Women","Single",0,3.19000005722046,0,0.88,2
0,"Men","Married",2,4.28999996185303,2,0.66,3
0,"Men","Married",0,4.28999996185303,2,0.69,3
0,"Men","Married",2,3.40000009536743,0,1.19,2
0,"Men","Single",0,4.28999996185303,35,0.92,2
0,"Men","Married",2,2.3199999332428,5,1.65,1
0,"Men","Single",0,1.67999994754791,5,1.36,1
0,"Women","Married",0,2.57999992370605,0,1.51,2
0,"Men","Married",0,3.69000005722046,3,1.01,2
0,"Men","Married",2,3.41000008583069,7,1.42,2
0,"Men","Married",0,2.3199999332428,0,0.79,3
0,"Men","Married",1,3.69000005722046,8,0.71,3
1,"Men","Married",0,2.53999996185303,4,0.71,3
1,"Women","Married",1,1.75999999046326,4,1.61,1
1,"Men","Married",1,4.28999996185303,13,1.09,2
1,"Men","Married",3,2.09999990463257,0,1.43,2
1,"Women","Married",1,3.08999991416931,12,1.52,1
1,"Women","Single",0,3.35999989509583,6,0.82,2
1,"Men","Married",0,2.09999990463257,0,0.84,2
1,"Women","Married",1,3.75,7,1.23,1
1,"Women","Single",0,2.14000010490417,6,0.97,3
1,"Women","Single",0,4.28999996185303,22,1.98,2
1,"Women","Single",0,2,2,0.78,2
1,"Men","Married",0,2,4,1.75,3
1,"Men","Married",1,2,16,1.74,1
1,"Men","Married",1,2.60999989509583,6,1.07,3
1,"Men","Married",0,4.25,12,1.87,2
1,"Men","Single",0,2.35999989509583,14,1.01,3
1,"Women","Married",0,4.28999996185303,11,1.51,3
1,"Men","Married",0,2.09999990463257,2,1.31,2
1,"Women","Married",0,2.86999988555908,5,1.47,2
1,"Women","Married",0,3.47000002861023,3,1.11,1
1,"Men","Married",0,1.77999997138977,1,1.18,3
1,"Men","Married",0,4.1399998664856,15,0.62,2
1,"Men","Married",3,4.28999996185303,0,0.54,2
1,"Men","Single",0,4.28999996185303,3,1.02,1
1,"Men","Single",0,1.80999994277954,10,1.87,1
1,"Women","Single",0,2.3199999332428,15,1.74,3
1,"Women","Married",0,2.60999989509583,7,0.74,3
1,"Men","Married",0,1.67999994754791,34,1.66,1
1,"Women","Married",0,3.19000005722046,3,0.79,3
1,"Men","Married",1,3.58999991416931,5,0.95,1
1,"Men","Married",0,2.5,0,1.97,2
1,"Men","Single",0,3.40000009536743,6,1.69,2
1,"Women","Single",0,2.25999999046326,4,0.54,1
1,"Men","Single",0,3.40000009536743,12,0.9,3
1,"Men","Married",1,3.92000007629395,0,1.77,1
1,"Men","Married",2,2.96000003814697,0,1.84,2
1,"Men","Single",0,4.28999996185303,15,0.81,3
1,"Men","Married",0,4.28999996185303,11,1.05,3
1,"Women","Married",1,3.3199999332428,24,1.5,2
1,"Men","Single",0,1.86000001430511,15,1.83,3
1,"Women","Single",0,2.86999988555908,6,1.24,2
1,"Women","Married",0,1.63999998569489,22,0.99,1
1,"Women","Single",0,2.25,7,0.56,3
1,"Women","Single",0,2.09999990463257,8,1.36,3
1,"Women","Married",0,4.28999996185303,6,0.59,2
1,"Men","Married",0,1.75,3,0.51,1
1,"Men","Married",0,2.96000003814697,8,1.66,1
1,"Women","Single",0,2.25,4,1.98,2
1,"Men","Married",2,4.25,20,0.9,3
1,"Men","Married",2,2.55999994277954,22,1.31,3
1,"Women","Single",0,3.19000005722046,11,0.57,1
1,"Men","Married",2,3.92000007629395,2,1.92,1
1,"Men","Married",1,1.77999997138977,77,1.17,1
1,"Women","Married",0,3.40000009536743,14,0.96,2
1,"Men","Married",1,1.74000000953674,4,1.64,2
1,"Men","Single",0,4.28999996185303,6,0.88,3
1,"Women","Single",0,2,6,0.54,3
1,"Women","Married",0,2.86999988555908,18,1.23,3
1,"Men","Married",0,4.28999996185303,6,1.97,3
1,"Women","Married",0,3.19000005722046,2,1.18,2
1,"Men","Married",1,1.22000002861023,1,0.71,2
1,"Women","Married",2,3.53999996185303,17,1.24,2
1,"Men","Married",1,4.28999996185303,1,1.22,1
1,"Men","Married",1,4.61999988555908,3,0.97,1
1,"Women","Single",0,2,6,1.01,2
1,"Women","Single",0,3.58999991416931,3,0.61,2
1,"Women","Single",0,3.19000005722046,6,0.86,1
1,"Men","Married",1,3.40000009536743,2,1.34,1
1,"Women","Married",0,1.27999997138977,2,1.07,1
1,"Men","Married",2,1.74000000953674,4,0.66,1
1,"Men","Married",1,2.25999999046326,1,0.71,3
1,"Women","Married",0,3.58999991416931,5,0.56,2
1,"Men","Married",1,4.61999988555908,16,1.21,3
1,"Women","Single",0,1.39999997615814,2,1.23,1
1,"Women","Single",0,0.920000016689301,4,1.82,1
1,"Men","Married",1,2.39000010490417,3,1.45,1
1,"Men","Married",0,2.25999999046326,1,0.94,3
1,"Men","Married",2,2.85999989509583,7,1.91,1
1,"Men","Married",2,2.75999999046326,8,1.26,2
1,"Men","Married",1,1.62999999523163,8,0.71,1
1,"Men","Married",2,4.28999996185303,12,1.17,3
1,"Women","Single",0,1.39999997615814,3,1.73,2
1,"Women","Married",0,2.11999988555908,0,0.61,1
1,"Women","Married",1,2.60999989509583,6,0.91,1
1,"Men","Married",0,1.79999995231628,1,0.66,2
1,"Women","Married",0,4.28999996185303,21,1.98,1
1,"Women","Single",0,3.69000005722046,18,1.53,3
1,"Women","Married",0,4.61999988555908,16,0.87,1
1,"Men","Single",0,2.15000009536743,10,0.99,3
1,"Men","Married",2,2.09999990463257,0,1.66,3
1,"Women","Married",0,2,5,1.87,2
1,"Women","Single",0,1.25499999523163,0,1.75,1
1,"Men","Married",2,1.75,2,1.93,3
1,"Women","Single",0,3.84999990463257,2,0.65,1
1,"Men","Single",0,4.25,4,1.38,2
1,"Women","Single",0,3.47000002861023,3,1.09,1
1,"Men","Married",1,3.92000007629395,8,0.82,3
1,"Men","Married",2,2.50999999046326,3,1.14,1
1,"Women","Single",0,1.39999997615814,12,1.64,3
1,"Men","Married",1,2,11,1.03,3
1,"Women","Single",0,2,10,1.26,1
1,"Men","Single",0,4.28999996185303,2,1.66,2
1,"Men","Single",0,3.35999989509583,10,1.05,1
1,"Men","Married",0,4.61999988555908,1,0.68,2
1,"Men","Married",1,2.55999994277954,16,1.77,3
1,"Men","Married",0,4.61999988555908,18,1.62,1
1,"Men","Married",0,3.58999991416931,10,0.89,3
1,"Men","Married",2,4.28999996185303,6,1.46,3
1,"Women","Single",0,3.58999991416931,8,1,2
1,"Women","Single",0,4.28999996185303,6,0.95,1
1,"Men","Married",0,3.19000005722046,3,1.21,3
1,"Women","Married",0,3.58999991416931,1,1.51,3
1,"Women","Married",0,2.96000003814697,19,1.88,1
1,"Women","Single",0,2.57999992370605,2,1.14,2
1,"Men","Married",3,2.96000003814697,6,1.83,3
1,"Women","Married",0,4.53999996185303,13,1.86,2
1,"Men","Married",1,4.53999996185303,10,1.75,1
1,"Men","Married",2,2.5,4,1.69,1
1,"Men","Married",0,1.67999994754791,8,1.72,1
1,"Men","Married",0,2.3199999332428,4,1.3,2
1,"Women","Married",3,3.19000005722046,9,1.93,2
1,"Women","Single",0,2.21000003814697,2,0.89,2
1,"Women","Married",0,1.25,5,1.81,2
1,"Men","Single",0,4.1399998664856,5,1.65,3
1,"Women","Married",0,4.61999988555908,4,0.74,1
1,"Women","Single",0,4.53999996185303,37,1.18,3
1,"Women","Married",0,3.15000009536743,9,0.75,1
1,"Men","Single",0,4.28999996185303,11,1.08,2
1,"Women","Married",0,1.95000004768372,3,0.51,2
1,"Men","Single",0,2,9,1.76,2
1,"Women","Married",0,4.53999996185303,2,0.74,2
1,"Women","Married",2,2.57999992370605,2,0.83,2
1,"Women","Married",0,3.84999990463257,29,0.7,1
1,"Men","Married",1,3.41000008583069,10,1.41,3
1,"Women","Married",1,2.25999999046326,9,1.14,1
1,"Women","Single",0,4.25,2,1.49,1
1,"Men","Married",1,3.58999991416931,6,1.48,1
1,"Women","Married",1,2.11999988555908,9,1.59,2
1,"Men","Married",0,2.96000003814697,7,0.61,2
1,"Women","Single",0,2.51999998092651,0,1.74,2
1,"Women","Single",0,2.25999999046326,4,1.43,1
1,"Women","Single",0,4.53999996185303,9,1.03,2
1,"Women","Married",2,2.85999989509583,7,1.69,3
1,"Men","Married",0,4.53999996185303,2,1.66,2
1,"Men","Married",0,3.58999991416931,12,1.55,1
1,"Women","Married",0,4.61999988555908,18,1.83,3
1,"Men","Married",3,1.66999995708466,3,1.11,2
1,"Men","Married",2,1.75,1,1.6,1
1,"Women","Married",1,2.82999992370605,5,0.88,1
1,"Men","Married",3,3.15000009536743,11,1.55,3
1,"Men","Married",1,3.58999991416931,9,0.87,1
1,"Women","Single",0,3.75,24,0.98,2
1,"Women","Single",0,2.04999995231628,17,1.51,1
1,"Men","Married",0,4.28999996185303,0,1.69,1
1,"Men","Married",2,4.28999996185303,0,0.8,1
1,"Women","Married",0,2.39000010490417,7,1,2
1,"Men","Married",1,4.53999996185303,3,1.44,1
1,"Men","Married",0,2.3199999332428,4,1.16,3
1,"Women","Single",0,4.28999996185303,25,1.58,3
1,"Men","Married",1,3.69000005722046,5,1.88,2
1,"Men","Single",0,4.28999996185303,9,1.74,1
1,"Men","Single",0,3.92000007629395,2,1.53,1
1,"Men","Married",0,2.75999999046326,5,1.47,3
1,"Men","Single",0,2.75999999046326,6,1.59,3
1,"Men","Married",2,3.61999988555908,4,0.84,3
1,"Men","Married",1,4.28999996185303,14,1.38,1
1,"Men","Single",0,2.86999988555908,12,1.55,1
1,"Women","Married",1,2.39000010490417,9,1.23,1
1,"Men","Single",0,4.28999996185303,14,0.9,3
1,"Men","Married",0,1.77999997138977,4,1.97,1
1,"Men","Married",1,2.09999990463257,8,0.59,1
1,"Women","Married",0,2.25,3,1.03,3
1,"Men","Married",1,2.25999999046326,5,0.51,1
1,"Men","Married",0,1.86000001430511,5,0.59,2
1,"Women","Single",0,3.92000007629395,4,0.57,3
1,"Men","Married",0,4.34000015258789,10,1.18,3
1,"Women","Single",0,3.35999989509583,4,1.91,3
1,"Women","Single",0,2.50999999046326,1,0.55,3
1,"Women","Single",0,3.75,21,1.12,3
1,"Men","Married",1,4.53999996185303,45,0.98,2
1,"Women","Single",0,1.62999999523163,8,1.18,1
1,"Women","Single",0,4.61999988555908,10,0.78,2
1,"Men","Married",0,1.51999998092651,2,0.99,3
1,"Men","Married",0,2.54999995231628,11,0.5,1
1,"Women","Married",0,1.17999994754791,1,0.61,3
1,"Women","Married",2,3.08999991416931,9,1.03,1
1,"Women","Single",0,4.61999988555908,5,0.56,1
1,"Women","Married",0,2.3199999332428,1,1.75,3
1,"Men","Single",0,2.04999995231628,3,1.61,1
1,"Men","Married",0,4.28999996185303,1,0.93,2
1,"Men","Single",0,3.40000009536743,2,1.97,1
1,"Men","Single",0,4.28999996185303,10,0.9,2
1,"Men","Married",1,3.58999991416931,2,1.38,1
1,"Men","Single",0,3.35999989509583,5,0.95,1
1,"Women","Single",0,2.04999995231628,13,1.94,1
1,"Women","Married",0,3.58999991416931,32,1.96,3
1,"Women","Single",0,3.84999990463257,18,1.98,3
1,"Men","Single",0,3.35999989509583,0,1.88,1
1,"Women","Married",0,1.75,0,1.63,1
1,"Women","Married",0,3.47000002861023,3,0.84,2
1,"Men","Married",1,2.60999989509583,4,1.56,3
1,"Men","Single",0,2.75999999046326,4,1.07,3
1,"Men","Married",2,4.28999996185303,9,1.12,3
1,"Women","Single",0,1.39999997615814,3,1.82,2
1,"Women","Married",0,4.61999988555908,18,1.61,2
1,"Men","Married",1,2.85999989509583,17,1.43,3
1,"Men","Married",1,2.85999989509583,17,0.5,1
1,"Men","Married",0,2.85999989509583,39,1.18,2
1,"Men","Single",0,2,7,1.83,2
1,"Women","Married",0,1.75999999046326,8,1.21,1
1,"Men","Married",0,2.5,0,1.2,1
1,"Women","Single",0,4.28999996185303,17,1.89,3
1,"Men","Single",0,2.55999994277954,16,1.35,2
1,"Women","Married",1,3.53999996185303,14,0.6,1
1,"Women","Married",0,3.69000005722046,1,1.31,1
1,"Men","Single",0,2.86999988555908,5,0.87,1
1,"Women","Single",0,1.65499997138977,0,1.15,1
1,"Men","Married",1,4.34000015258789,4,1.52,3
1,"Men","Married",0,3.53999996185303,11,1.8,3
1,"Men","Married",2,4.28999996185303,10,1.14,3
1,"Men","Married",0,1.80999994277954,0,1.1,3
1,"Women","Single",0,3.40000009536743,7,0.68,3
1,"Men","Married",1,1.80999994277954,5,1.94,1
1,"Women","Single",0,3.19000005722046,18,1.49,1
1,"Women","Married",1,2.3199999332428,5,1.05,3
1,"Women","Single",0,4.53999996185303,19,1.1,1
1,"Men","Married",1,4.28999996185303,2,0.8,3
1,"Men","Married",1,2.85999989509583,2,1.09,1
1,"Women","Married",1,2.85999989509583,2,1.43,2
1,"Men","Married",1,1.22000002861023,0,1.35,2
1,"Men","Married",0,2.09999990463257,0,0.51,3
1,"Men","Married",1,1.67999994754791,12,1.02,1
1,"Women","Single",0,3.35999989509583,34,1.44,1
1,"Women","Married",0,2.86999988555908,15,0.55,2
1,"Men","Married",1,3.47000002861023,1,1.83,2
1,"Men","Single",0,2.75999999046326,7,0.59,3
1,"Men","Married",1,3.53999996185303,21,0.66,1
1,"Women","Married",0,1.95000004768372,11,0.92,2
1,"Men","Married",1,3.58999991416931,19,0.81,3
1,"Women","Single",0,3.19000005722046,3,0.8,3
1,"Women","Single",0,2.75999999046326,2,0.85,3
1,"Women","Married",2,4.28999996185303,13,1.67,3
1,"Men","Married",2,3.19000005722046,5,0.62,2
1,"Men","Married",0,2.96000003814697,0,1.23,1
1,"Men","Married",1,2.75999999046326,7,0.59,3
1,"Women","Married",0,1.80999994277954,11,0.61,2
2,"Men","Married",0,3.35999989509583,4,1.29,3
2,"Men","Single",0,3.08999991416931,14,1.31,1
2,"Women","Single",0,3.75,8,1.62,2
2,"Women","Married",0,4.53999996185303,10,1.76,2
